연도,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
2021,48755561.392,45187962.749,43074365.908,41899676.61,40842275.451,42031874.106,45971797.058,48929955.53,44818885.195,41838221.376,42829616.368,47250619.115
2020,46326916,44498867,42870785,40475290,38327716,39752893,42067820,44599216,45110792,39065312,41147026,45027083
2019,48644909.218,44353990.476,43089012.977,42440869.614,40708218.177,40620015.796,42966423.467,47558697.973,43649516.542,40623056.125,41111913.143,44732114.218
2018,48361741,46749816,42936450,42032551,40530519,41045645,44029950,49532098,43729300,39977730,41905476,45317885
2017,45196953,44422400,42558535,40811060,38743894,39672664,43208492,45353733,42336101,38368804,41293174,45780576
2016,44650894,43570226,42245182,40123455,38235590,39668106,40590292,44411841,41203914,38549181,40256466,43533756
2015,45443036.787,41824560.375,40877322.544,40078451.416,37889662.471,38345446.917,39394075.455,41945453.698,39718749.94,37464995.214,38878437.048,41794623.437
2014,43775187.228,41221993.844,40637618.984,39266560.916,37390795.102,37855377.365,40010749.726,40047644.239,38174482.267,37828850.38,38743662.841,42638778.131
2013,44491470.421,41012231.983,39520572.445,39007191.638,37460418.439,37366212.833,39171507.91,40647056.517,38781510.287,36964747.142,38533486.397,41892174.098
2012,42486806.532,41932128.314,40324308.134,38496407.491,36388770.046,36610559.748,38149086.77,39901705.232,37881181.318,34907399.77,37931180.917,41583414.416
2011,43116655.984,39845241.07,38447974.615,37727320.247,35466173.973,35759644.329,37296560.014,38374056.835,36871130.382,35615490.9,36880434.694,39669577.457
2010,39712860.66,37220268.973,35568068.856,35979969.718,33819812.311,33835636.681,35551240.556,37264761.046,36254475.545,33555161.391,36106324.642,39291647.655
2009,34349683.373,33306296.29,32615253.811,32478163.437,30436168.252,31079780.694,32430824.115,33043506.048,33525439.418,31044393.601,33530622.489,36634505.241
2008,35129160.574,34177710.932,33293771.638,31704738.409,30119983.243,30352079.97,32010671.575,33021496.673,31322926.648,30403362.683,30863875.959,32670358.455
2007,32543861,31089129,30138431,30374816,29029176,29203872,29845821,31669513,30680240,29202242,31274923,33553410
2006,31823466,29978782,29262514,28826291,27349505,27613395,27999170,29861619,29431425,26316296,28914360,31342548
2005,29238796,27497979,28035082,27373270,25918867,26810982,27374078,28435470,27315740,26167397,27679290,30565876
2004,26752037,27086585,26350310,25615694,24587236,25131881,25577155,27249274,25634547,24772485,26131502,27206879
2003,26415264,24943032,24587115,24347637,23251967,23465898,23605893,24290405,23800219,23793012,24885960,26212828
2002,24345142,22494339,22835056,22820603,22279316,22228006,22866129,23628044,22903899,22954521,24314025,24782292
2001,21300441,21096795,21179431,20933489,20434987,21057430,21355726,22434299,22211627,21063675,21757501,22905952
2000,19635011,18945849,19810568,19095940,19133999,19681528,20685639,21493088,20251853,19641575,20368537,20791899
1999,16857652,16034674,16826489,17172177,17014277,17698167,18391299,19013452,19117739,18409965,18569898,19109101
1998,15800172,15414800,15621705,15708803,15626729,15786326,16176705,16609760,17254502,16032799,16462463,16975574
1997,16224867,15363840,16094268,16266027,16028072,16465534,17202305,18298057,17597176,16867422,17217667,17158393
1996,14862916,14227130,14592036,14758865,14507518,14881867,15308443,16498814,15739206,15278914,15805861,16008803
