"항목","시점",제조업
"가동률지수(계절조정)","1996.01",98.900
"가동률지수(계절조정)","1996.02",101.300
"가동률지수(계절조정)","1996.03",100.300
"가동률지수(계절조정)","1996.04",102.500
"가동률지수(계절조정)","1996.05",102.100
"가동률지수(계절조정)","1996.06",96.600
"가동률지수(계절조정)","1996.07",99.800
"가동률지수(계절조정)","1996.08",98.800
"가동률지수(계절조정)","1996.09",100.100
"가동률지수(계절조정)","1996.10",99.600
"가동률지수(계절조정)","1996.11",99.000
"가동률지수(계절조정)","1996.12",98.500
"가동률지수(계절조정)","1997.01",93.600
"가동률지수(계절조정)","1997.02",99.500
"가동률지수(계절조정)","1997.03",100.500
"가동률지수(계절조정)","1997.04",101.200
"가동률지수(계절조정)","1997.05",98.500
"가동률지수(계절조정)","1997.06",99.000
"가동률지수(계절조정)","1997.07",97.100
"가동률지수(계절조정)","1997.08",100.700
"가동률지수(계절조정)","1997.09",99.300
"가동률지수(계절조정)","1997.10",98.100
"가동률지수(계절조정)","1997.11",95.500
"가동률지수(계절조정)","1997.12",95.500
"가동률지수(계절조정)","1998.01",87.100
"가동률지수(계절조정)","1998.02",85.300
"가동률지수(계절조정)","1998.03",82.100
"가동률지수(계절조정)","1998.04",82.500
"가동률지수(계절조정)","1998.05",82.800
"가동률지수(계절조정)","1998.06",81.900
"가동률지수(계절조정)","1998.07",78.500
"가동률지수(계절조정)","1998.08",81.300
"가동률지수(계절조정)","1998.09",85.100
"가동률지수(계절조정)","1998.10",86.700
"가동률지수(계절조정)","1998.11",87.300
"가동률지수(계절조정)","1998.12",87.300
"가동률지수(계절조정)","1999.01",85.900
"가동률지수(계절조정)","1999.02",89.100
"가동률지수(계절조정)","1999.03",90.800
"가동률지수(계절조정)","1999.04",91.600
"가동률지수(계절조정)","1999.05",95.300
"가동률지수(계절조정)","1999.06",94.600
"가동률지수(계절조정)","1999.07",97.800
"가동률지수(계절조정)","1999.08",96.300
"가동률지수(계절조정)","1999.09",98.100
"가동률지수(계절조정)","1999.10",96.300
"가동률지수(계절조정)","1999.11",98.400
"가동률지수(계절조정)","1999.12",98.800
"가동률지수(계절조정)","2000.01",96.800
"가동률지수(계절조정)","2000.02",95.800
"가동률지수(계절조정)","2000.03",96.700
"가동률지수(계절조정)","2000.04",94.700
"가동률지수(계절조정)","2000.05",99.400
"가동률지수(계절조정)","2000.06",96.600
"가동률지수(계절조정)","2000.07",99.900
"가동률지수(계절조정)","2000.08",101.500
"가동률지수(계절조정)","2000.09",98.700
"가동률지수(계절조정)","2000.10",97.800
"가동률지수(계절조정)","2000.11",95.100
"가동률지수(계절조정)","2000.12",93.900
"가동률지수(계절조정)","2001.01",94.500
"가동률지수(계절조정)","2001.02",93.000
"가동률지수(계절조정)","2001.03",94.000
"가동률지수(계절조정)","2001.04",93.700
"가동률지수(계절조정)","2001.05",94.500
"가동률지수(계절조정)","2001.06",93.500
"가동률지수(계절조정)","2001.07",92.000
"가동률지수(계절조정)","2001.08",93.700
"가동률지수(계절조정)","2001.09",93.600
"가동률지수(계절조정)","2001.10",93.000
"가동률지수(계절조정)","2001.11",91.900
"가동률지수(계절조정)","2001.12",88.600
"가동률지수(계절조정)","2002.01",94.100
"가동률지수(계절조정)","2002.02",95.400
"가동률지수(계절조정)","2002.03",98.400
"가동률지수(계절조정)","2002.04",98.900
"가동률지수(계절조정)","2002.05",97.300
