"항목","시점",제조업
"가동률지수(원지수)","1996.01",98.614
"가동률지수(원지수)","1996.02",91.334
"가동률지수(원지수)","1996.03",102.846
"가동률지수(원지수)","1996.04",104.199
"가동률지수(원지수)","1996.05",105.482
"가동률지수(원지수)","1996.06",96.741
"가동률지수(원지수)","1996.07",99.939
"가동률지수(원지수)","1996.08",94.701
"가동률지수(원지수)","1996.09",95.226
"가동률지수(원지수)","1996.10",105.190
"가동률지수(원지수)","1996.11",103.794
"가동률지수(원지수)","1996.12",100.211
"가동률지수(원지수)","1997.01",93.373
"가동률지수(원지수)","1997.02",88.059
"가동률지수(원지수)","1997.03",102.937
"가동률지수(원지수)","1997.04",104.572
"가동률지수(원지수)","1997.05",100.173
"가동률지수(원지수)","1997.06",99.056
"가동률지수(원지수)","1997.07",97.221
"가동률지수(원지수)","1997.08",94.883
"가동률지수(원지수)","1997.09",95.676
"가동률지수(원지수)","1997.10",103.988
"가동률지수(원지수)","1997.11",98.384
"가동률지수(원지수)","1997.12",97.146
"가동률지수(원지수)","1998.01",79.837
"가동률지수(원지수)","1998.02",80.863
"가동률지수(원지수)","1998.03",85.519
"가동률지수(원지수)","1998.04",86.680
"가동률지수(원지수)","1998.05",84.337
"가동률지수(원지수)","1998.06",81.999
"가동률지수(원지수)","1998.07",78.575
"가동률지수(원지수)","1998.08",76.593
"가동률지수(원지수)","1998.09",88.928
"가동률지수(원지수)","1998.10",86.398
"가동률지수(원지수)","1998.11",89.816
"가동률지수(원지수)","1998.12",90.134
"가동률지수(원지수)","1999.01",84.503
"가동률지수(원지수)","1999.02",77.622
"가동률지수(원지수)","1999.03",94.623
"가동률지수(원지수)","1999.04",94.692
"가동률지수(원지수)","1999.05",95.532
"가동률지수(원지수)","1999.06",97.917
"가동률지수(원지수)","1999.07",98.008
"가동률지수(원지수)","1999.08",92.325
"가동률지수(원지수)","1999.09",94.557
"가동률지수(원지수)","1999.10",101.968
"가동률지수(원지수)","1999.11",102.742
"가동률지수(원지수)","1999.12",101.805
"가동률지수(원지수)","2000.01",95.060
"가동률지수(원지수)","2000.02",86.572
"가동률지수(원지수)","2000.03",100.766
"가동률지수(원지수)","2000.04",94.686
"가동률지수(원지수)","2000.05",101.256
"가동률지수(원지수)","2000.06",98.438
"가동률지수(원지수)","2000.07",98.505
"가동률지수(원지수)","2000.08",97.179
"가동률지수(원지수)","2000.09",95.174
"가동률지수(원지수)","2000.10",101.918
"가동률지수(원지수)","2000.11",99.138
"가동률지수(원지수)","2000.12",94.896
"가동률지수(원지수)","2001.01",86.903
"가동률지수(원지수)","2001.02",88.789
"가동률지수(원지수)","2001.03",98.094
"가동률지수(원지수)","2001.04",95.388
"가동률지수(원지수)","2001.05",98.016
"가동률지수(원지수)","2001.06",95.217
"가동률지수(원지수)","2001.07",90.686
"가동률지수(원지수)","2001.08",89.688
"가동률지수(원지수)","2001.09",95.162
"가동률지수(원지수)","2001.10",93.449
"가동률지수(원지수)","2001.11",95.569
"가동률지수(원지수)","2001.12",89.274
"가동률지수(원지수)","2002.01",94.944
"가동률지수(원지수)","2002.02",83.377
"가동률지수(원지수)","2002.03",101.055
"가동률지수(원지수)","2002.04",102.287
"가동률지수(원지수)","2002.05",102.703
"가동률지수(원지수)","2002.06",93.312
"가동률지수(원지수)","2002.07",95.947
"가동률지수(원지수)","2002.08",94.902
"가동률지수(원지수)","2002.09",92.908
"가동률지수(원지수)","2002.10",102.771
"가동률지수(원지수)","2002.11",99.924
"가동률지수(원지수)","2002.12",96.497
"가동률지수(원지수)","2003.01",93.956
"가동률지수(원지수)","2003.02",89.071
"가동률지수(원지수)","2003.03",99.735
"가동률지수(원지수)","2003.04",99.852
"가동률지수(원지수)","2003.05",96.652
"가동률지수(원지수)","2003.06",96.882
"가동률지수(원지수)","2003.07",91.151
"가동률지수(원지수)","2003.08",90.842
"가동률지수(원지수)","2003.09",94.322
"가동률지수(원지수)","2003.10",105.924
"가동률지수(원지수)","2003.11",99.910
"가동률지수(원지수)","2003.12",101.761
"가동률지수(원지수)","2004.01",91.412
"가동률지수(원지수)","2004.02",97.643
"가동률지수(원지수)","2004.03",104.723
"가동률지수(원지수)","2004.04",102.216
"가동률지수(원지수)","2004.05",101.754
"가동률지수(원지수)","2004.06",101.308
"가동률지수(원지수)","2004.07",96.966
"가동률지수(원지수)","2004.08",93.614
"가동률지수(원지수)","2004.09",95.537
"가동률지수(원지수)","2004.10",103.374
"가동률지수(원지수)","2004.11",103.920
"가동률지수(원지수)","2004.12",100.444
"가동률지수(원지수)","2005.01",99.711
"가동률지수(원지수)","2005.02",84.363
"가동률지수(원지수)","2005.03",104.167
"가동률지수(원지수)","2005.04",100.602
"가동률지수(원지수)","2005.05",99.909
"가동률지수(원지수)","2005.06",99.513
"가동률지수(원지수)","2005.07",98.028
"가동률지수(원지수)","2005.08",93.275
"가동률지수(원지수)","2005.09",95.552
"가동률지수(원지수)","2005.10",103.474
"가동률지수(원지수)","2005.11",106.940
"가동률지수(원지수)","2005.12",102.583
"가동률지수(원지수)","2006.01",96.345
"가동률지수(원지수)","2006.02",94.067
"가동률지수(원지수)","2006.03",104.563
"가동률지수(원지수)","2006.04",99.810
"가동률지수(원지수)","2006.05",101.989
"가동률지수(원지수)","2006.06",100.800
"가동률지수(원지수)","2006.07",90.701
"가동률지수(원지수)","2006.08",94.364
"가동률지수(원지수)","2006.09",105.850
"가동률지수(원지수)","2006.10",98.820
"가동률지수(원지수)","2006.11",106.246
"가동률지수(원지수)","2006.12",97.830
"가동률지수(원지수)","2007.01",98.820
"가동률지수(원지수)","2007.02",87.334
"가동률지수(원지수)","2007.03",102.583
"가동률지수(원지수)","2007.04",100.503
"가동률지수(원지수)","2007.05",102.880
"가동률지수(원지수)","2007.06",101.494
"가동률지수(원지수)","2007.07",97.335
"가동률지수(원지수)","2007.08",95.651
"가동률지수(원지수)","2007.09",92.879
"가동률지수(원지수)","2007.10",108.326
"가동률지수(원지수)","2007.11",106.345
"가동률지수(원지수)","2007.12",98.721
"가동률지수(원지수)","2008.01",102.187
"가동률지수(원지수)","2008.02",88.621
"가동률지수(원지수)","2008.03",104.068
"가동률지수(원지수)","2008.04",103.672
"가동률지수(원지수)","2008.05",102.286
"가동률지수(원지수)","2008.06",100.206
"가동률지수(원지수)","2008.07",98.820
"가동률지수(원지수)","2008.08",91.295
"가동률지수(원지수)","2008.09",93.572
"가동률지수(원지수)","2008.10",103.078
"가동률지수(원지수)","2008.11",88.522
"가동률지수(원지수)","2008.12",78.917
"가동률지수(원지수)","2009.01",72.976
"가동률지수(원지수)","2009.02",79.016
"가동률지수(원지수)","2009.03",90.701
"가동률지수(원지수)","2009.04",93.176
"가동률지수(원지수)","2009.05",92.384
"가동률지수(원지수)","2009.06",97.434
"가동률지수(원지수)","2009.07",97.830
"가동률지수(원지수)","2009.08",90.106
"가동률지수(원지수)","2009.09",102.583
"가동률지수(원지수)","2009.10",98.127
"가동률지수(원지수)","2009.11",99.513
"가동률지수(원지수)","2009.12",100.206
"가동률지수(원지수)","2010.01",95.9
"가동률지수(원지수)","2010.02",87.2
"가동률지수(원지수)","2010.03",103.9
"가동률지수(원지수)","2010.04",103.1
"가동률지수(원지수)","2010.05",101.5
"가동률지수(원지수)","2010.06",103.6
"가동률지수(원지수)","2010.07",103.0
"가동률지수(원지수)","2010.08",94.5
"가동률지수(원지수)","2010.09",95.3
"가동률지수(원지수)","2010.10",104.3
"가동률지수(원지수)","2010.11",103.4
"가동률지수(원지수)","2010.12",104.2
"가동률지수(원지수)","2011.01",100.5
"가동률지수(원지수)","2011.02",87.3
"가동률지수(원지수)","2011.03",105.7
"가동률지수(원지수)","2011.04",102.6
"가동률지수(원지수)","2011.05",103.2
"가동률지수(원지수)","2011.06",104.6
"가동률지수(원지수)","2011.07",100.7
"가동률지수(원지수)","2011.08",94.8
"가동률지수(원지수)","2011.09",97.6
"가동률지수(원지수)","2011.10",102.8
"가동률지수(원지수)","2011.11",102.4
"가동률지수(원지수)","2011.12",100.6
"가동률지수(원지수)","2012.01",92.5
"가동률지수(원지수)","2012.02",97.2
"가동률지수(원지수)","2012.03",102.9
"가동률지수(원지수)","2012.04",98.9
"가동률지수(원지수)","2012.05",102.6
"가동률지수(원지수)","2012.06",101.4
"가동률지수(원지수)","2012.07",97.2
"가동률지수(원지수)","2012.08",88.3
"가동률지수(원지수)","2012.09",94.1
"가동률지수(원지수)","2012.10",98.1
"가동률지수(원지수)","2012.11",100.7
"가동률지수(원지수)","2012.12",96.1
"가동률지수(원지수)","2013.01",98.9
"가동률지수(원지수)","2013.02",84.9
"가동률지수(원지수)","2013.03",97.2
"가동률지수(원지수)","2013.04",97.9
"가동률지수(원지수)","2013.05",99.4
"가동률지수(원지수)","2013.06",96.3
"가동률지수(원지수)","2013.07",94.6
"가동률지수(원지수)","2013.08",90.7
"가동률지수(원지수)","2013.09",87.0
"가동률지수(원지수)","2013.10",99.7
"가동률지수(원지수)","2013.11",98.2
"가동률지수(원지수)","2013.12",96.9
"가동률지수(원지수)","2014.01",91.9
"가동률지수(원지수)","2014.02",87.6
"가동률지수(원지수)","2014.03",99.1
"가동률지수(원지수)","2014.04",99.7
"가동률지수(원지수)","2014.05",95.6
"가동률지수(원지수)","2014.06",95.1
"가동률지수(원지수)","2014.07",98.7
"가동률지수(원지수)","2014.08",86.8
"가동률지수(원지수)","2014.09",89.0
"가동률지수(원지수)","2014.10",95.9
"가동률지수(원지수)","2014.11",94.0
"가동률지수(원지수)","2014.12",97.6
"가동률지수(원지수)","2015.01",93.1
"가동률지수(원지수)","2015.02",81.2
"가동률지수(원지수)","2015.03",96.5
"가동률지수(원지수)","2015.04",96.1
"가동률지수(원지수)","2015.05",92.1
"가동률지수(원지수)","2015.06",97.4
"가동률지수(원지수)","2015.07",95.0
"가동률지수(원지수)","2015.08",86.3
"가동률지수(원지수)","2015.09",89.0
"가동률지수(원지수)","2015.10",95.5
"가동률지수(원지수)","2015.11",91.9
